單詞,TF,DF
售價,151,83
品股,151,135
周轉,151,75
各方,151,131
受災,151,55
受害,151,96
及資,151,133
優秀,151,123
偏低,151,133
休市,151,107
也已,151,143
關資,150,135
重申,150,130
還能,150,131
還款,150,107
資案,150,97
與財,150,132
看待,150,133
的證,150,125
朝陽,150,29
恐怖,150,98
年國,150,132
年代,150,122
對新,150,132
存放,150,87
大國,150,128
可轉,150,97
前市,150,145
作法,150,134
一份,150,136
銀主,149,101
金公,149,92
選的,149,125
設有,149,132
行會,149,131
的力,149,115
澄清,149,123
時程,149,117
於新,149,138
數十,149,142
微軟,149,59
報價,149,100
基地,149,95
全新,149,126
介入,149,126
不易,149,132
電機,148,102
陣營,148,100
銀總,148,125
過一,148,138
通報,148,106
這波,148,116
資機,148,122
讓人,148,129
行人,148,110
的過,148,136
理林,148,138
理專,148,80
現況,148,131
狀態,148,134
民的,148,126
期定,148,74
政委,148,132
將提,148,140
在立,148,135
制裁,148,62
列入,148,123
元升,148,126
也指,148,141
銀也,147,124
量的,147,140
遇到,147,134
這類,147,119
較多,147,135
行以,147,137
萬口,147,112
籃子,147,95
的手,147,132
率可,147,131
建商,147,77
年有,147,138
帳號,147,94
對這,147,142
增強,147,129
國財,147,111
喜歡,147,123
初期,147,121
雙邊,146,106
起至,146,124
走貶,146,130
談會,146,108
調升,146,108
洋科,146,17
方政,146,97
抵押,146,105
房子,146,85
年就,146,129
在本,146,137
善的,146,135
勁揚,146,132
以期,146,146
人指,146,128
主力,146,130
一時,146,122
電股,145,136
際收,145,138
除權,145,95
都要,145,122
都將,145,139
跟進,145,131
談到,145,119
行是,145,138
行合,145,125
膨脹,145,114
等相,145,135
的未,145,131
熟悉,145,127
是今,145,138
拿下,145,114
息機,145,121
年間,145,121
幅為,145,141
小跌,145,119
實上,145,128
外公,145,109
回歸,145,121
可提,145,132
半碼,145,102
動態,145,120
動台,145,133
個別,145,129
以後,145,129
仍未,145,142
不太,145,130
題的,144,125
都已,144,136
費的,144,129
變得,144,127
續走,144,136
綠能,144,82
等地,144,135
益比,144,108
現相,144,136
獎項,144,84
延後,144,115
年營,144,116
年時,144,132
將出,144,134
密碼,144,77
大公,144,124
力推,144,126
前董,144,115
判斷,144,122
以每,144,122
人次,144,89
中指,144,136
並於,144,139
不安,144,128
院今,143,134
金庫,143,102
近幾,143,135
觀念,143,111
要看,143,130
行官,143,101
興建,143,97
直到,143,131
盤整,143,120
用途,143,108
生命,143,104
營的,143,128
洲聯,143,119
歷經,143,136
是可,143,134
於上,143,130
收取,143,114
德拉,143,70
得不,143,131
對不,143,129
家都,143,131
太大,143,130
多位,143,121
型態,143,120
國營,143,116
到國,143,131
分的,143,131
也相,143,138
音樂,142,53
韓股,142,110
運輸,142,120
辯論,142,82
評比,142,71
行中,142,133
落後,142,129
股盤,142,96
者可,142,130
稅收,142,92
盤上,142,125
的計,142,122
的海,142,122
海的,142,98
波段,142,123
法的,142,125
民生,142,117
未實,142,64
承認,142,108
房產,142,77
或有,142,103
就像,142,121
定是,142,134
子的,142,118
元之,142,123
保留,142,114
但若,142,137
以在,142,132
代的,142,118
一帶,142,78
進駐,141,122
近平,141,83
跌停,141,93
解讀,141,128
自有,141,104
能與,141,131
緩慢,141,124
等各,141,133
票的,141,107
盤跌,141,127
的聯,141,124
異常,141,95
為準,141,141
段時,141,134
暴跌,141,117
扣除,141,120
所提,141,128
很可,141,123
強制,141,85
寫下,141,120
審核,141,114
實驗,141,64
家族,141,92
大臣,141,71
前國,141,133
到今,141,126
利亞,141,83
分為,141,129
信業,141,101
但對,141,134
二大,141,133
主流,141,129
不管,141,131
一職,141,115
等三,140,123
的強,140,134
照護,140,75
氣候,140,77
機電,140,132
推薦,140,75
接單,140,61
廣泛,140,126
年稅,140,104
對方,140,98
將來,140,134
場發,140,121
單日,140,99
千億,140,112
前全,140,134
別股,140,43
兩位,140,113
高利,139,96
電力,139,80
金及,139,123
都沒,139,123
這家,139,110
自結,139,93
臨櫃,139,102
票證,139,67
社長,139,91
為今,139,130
本人,139,85
暗示,139,119
接觸,139,123
已是,139,131
工研,139,41
境下,139,125
前台,139,125
任職,139,113
件事,139,122
中共,139,68
不出,139,116
關切,138,124
配套,138,108
退稅,138,19
賠償,138,79
裁員,138,70
行新,138,113
若能,138,123
能再,138,134
股後,138,120
續成,138,127
私募,138,90
研討,138,114
監控,138,98
的看,138,130
的低,138,131
理賠,138,68
為提,138,137
海與,138,74
有這,138,131
月薪,138,78
會及,138,119
是第,138,130
日期,138,113
持卡,138,87
憂心,138,128
就職,138,75
在當,138,132
國中,138,113
北韓,138,42
動部,138,77
則表,138,130
公民,138,96
假日,138,76
額約,137,122
資通,137,53
行一,137,131
能提,137,130
等方,137,130
硬體,137,93
盤漲,137,131
的評,137,112
產投,137,106
獎勵,137,82
特殊,137,120
為目,137,133
月營,137,97
時說,137,127
於日,137,128
數也,137,124
息收,137,106
度上,137,125
大中,137,99
向來,137,135
價為,137,126
假期,137,111
來也,137,133
二次,137,113
鼎興,136,30
關法,136,124
開設,136,102
避稅,136,62
證據,136,107
規畫,136,124
自主,136,106
的技,136,112
理黃,136,130
次是,136,124
早在,136,125
手中,136,122
成效,136,122
思維,136,109
常會,136,120
多個,136,126
在政,136,126
合法,136,102
分公,136,110
偵辦,136,97
世紀,136,115
點關,135,124
體質,135,120
類指,135,35
金來,135,115
贊助,135,81
證實,135,120
約為,135,117
社區,135,72
的內,135,123
由中,135,122
泰證,135,64
正向,135,99
業對,135,114
業中,135,119
日盤,135,114
接著,135,128
接手,135,74
所公,135,134
或者,135,121
團的,135,117
員指,135,123
合新,135,115
卡金,135,68
加快,135,125
做到,135,112
面額,134,70
輕鬆,134,117
賺錢,134,109
而在,134,131
算所,134,50
等待,134,118
的因,134,127
涉嫌,134,111
決心,134,117
歐股,134,107
業資,134,106
業等,134,128
業成,134,121
業家,134,81
格的,134,128
會要,134,124
普及,134,111
日均,134,101
於本,134,122
新股,134,86
放比,134,84
承受,134,125
帶一,134,72
巴克,134,74
大通,134,101
外銀,134,78
在最,134,127
出手,134,122
克萊,134,71
價以,134,133
來一,134,123
估值,134,108
上表,134,129
險控,133,103
長郭,133,115
這場,133,112
資大,133,121
續上,133,123
精采,133,133
移送,133,75
票券,133,74
的錢,133,111
產股,133,113
業不,133,124
查局,133,90
有台,133,123
有其,133,125
會受,133,116
旅行,133,84
所表,133,99
後再,133,125
庫銀,133,77
店面,133,45
年人,133,96
幅下,133,121
學系,133,81
她的,133,94
大經,133,122
在未,133,121
在下,133,128
務長,133,94
加拉,133,47
到大,133,118
住民,133,43
下載,133,100
部份,132,116
選股,132,98
通股,132,80
轉正,132,88
認列,132,89
要因,132,131
要再,132,123
能量,132,108
股基,132,87
盤下,132,109
益率,132,91
的英,132,100
的自,132,115
的協,132,116
歲以,132,93
此事,132,112
款帳,132,68
望在,132,123
有新,132,130
會公,132,122
日也,132,123
方的,132,119
態勢,132,121
悠遊,132,64
專戶,132,70
在會,132,116
及人,132,112
判決,132,69
依序,132,119
人也,132,127
下單,132,82
上有,132,128
降準,131,54
辜仲,131,48
賣出,131,97
觸及,131,112
股比,131,99
節能,131,66
的要,131,126
男子,131,56
理想,131,115
款機,131,81
是人,131,120
支行,131,45
提領,131,74
指控,131,104
志工,131,54
往往,131,119
廈門,131,57
度不,131,124
在人,131,120
元計,131,111
偏多,131,111
低價,131,106
不良,131,92
下去,131,122
一同,131,122
高低,130,82
附加,130,90
關規,130,119
金總,130,117
走出,130,115
覆蓋,130,92
網友,130,77
約時,130,114
生意,130,109
版圖,130,119
法定,130,88
毛利,130,81
有無,130,111
月上,130,113
是日,130,111
想法,130,118
很好,130,113
度下,130,118
年都,130,124
山人,130,59
國首,130,119
四年,130,110
及投,130,125
化股,130,127
到新,130,123
入新,130,116
以自,130,116
三成,130,111
驗證,129,89
開立,129,89
超級,129,100
萬名,129,112
若以,129,120
股股,129,109
空單,129,54
盤勢,129,110
盡快,129,104
的各,129,123
登錄,129,86
當初,129,109
猴年,129,57
為有,129,124
母親,129,64
正確,129,106
曾在,129,120
是希,129,123
新設,129,78
按照,129,114
建構,129,107
已超,129,122
就算,129,117
將再,129,124
家數,129,91
家中,129,110
大獎,129,82
在高,129,116
口的,129,113
何時,129,118
人及,129,112
一部,129,112
金也,128,121
邁向,128,120
造紙,128,125
退場,128,95
調薪,128,31
語言,128,98
許可,128,95
行大,128,114
著手,128,121
與資,128,108
第五,128,113
的薪,128,89
液化,128,36
水位,128,93
會開,128,121
對歐,128,98
專屬,128,100
將開,128,116
國將,128,119
和國,128,114
去的,128,120
南市,128,76
偏好,128,111
來可,128,124
主軸,128,114
不限,128,101
上最,128,119
高等,127,89
高到,127,113
馬上,127,116
降幅,127,82
路上,127,111
要原,127,123
補充,127,116
行昨,127,110
與政,127,109
與全,127,113
背後,127,111
股加,127,123
競選,127,95
皮書,127,60
的波,127,107
的安,127,112
瑞穗,127,102
然是,127,121
為最,127,114
業部,127,90
業營,127,104
期盼,127,112
有金,127,121
日後,127,121
收復,127,101
才的,127,109
所致,127,105
度降,127,108
年出,127,108
層面,127,113
將加,127,121
商圈,127,54
員說,127,109
午在,127,124
利商,127,87
兩次,127,112
人與,127,124
一代,127,98
體制,126,93
節省,126,114
眾對,126,102
的立,126,111
的亞,126,109
理業,126,102
業有,126,112
有國,126,120
會面,126,101
是這,126,123
日台,126,112
提存,126,70
悲觀,126,106
形象,126,94
強的,126,119
年也,126,121
局的,126,117
將使,126,111
大專,126,61
地點,126,107
在網,126,100
周年,126,80
元中,126,107
不在,126,119
三季,126,87
顯然,125,111
額外,125,105
非洲,125,50
詳見,125,125
見的,125,115
行外,125,108
行分,125,113
萬戶,125,69
缺口,125,97
的觀,125,117
的應,125,108
獨董,125,48
減輕,125,116
每次,125,109
歷年,125,100
擴增,125,108
推進,125,91
拉斯,125,53
局面,125,117
將不,125,119
安定,125,73
天將,125,114
多空,125,108
場大,125,119
則為,125,122
出去,125,102
兄弟,125,79
備受,125,118
偏鄉,125,52
享受,125,101
革新,124,93
靈活,124,112
行之,124,112
行上,124,115
若要,124,111
能將,124,118
股期,124,89
而這,124,118
罰案,124,102
緊縮,124,107
禁止,124,85
的認,124,102
獨家,124,102
牽動,124,113
水平,124,99
此之,124,116
業為,124,102
最為,124,118
支應,124,103
恐將,124,112
官網,124,104
存單,124,53
坦言,124,111
在東,124,105
務發,124,108
利基,124,106
入主,124,96
元人,124,84
低檔,124,118
以美,124,111
二是,124,118
中壽,124,54
不應,124,111
上開,124,75
野村,123,56
逐年,123,95
行降,123,104
荷蘭,123,83
網絡,123,98
社福,123,52
知情,123,97
矚目,123,122
的老,123,108
由金,123,113
營造,123,96
然不,123,115
海運,123,44
安心,123,91
向金,123,110
去一,123,116
半數,123,106
券投,123,95
信任,123,100
不敢,123,108
下旬,123,111
馬拉,122,75
金改,122,63
路的,122,106
資方,122,102
豪宅,122,56
訊科,122,98
要做,122,109
直言,122,117
的家,122,101
的下,122,118
環球,122,89
現較,122,118
業數,122,100
期在,122,118
最強,122,114
新科,122,86
新公,122,100
文創,122,63
政見,122,71
撐盤,122,104
接獲,122,103
得的,122,113
委王,122,110
基期,122,104
和大,122,102
合一,122,92
務等,122,116
不法,122,98
不振,122,109
黨籍,121,86
阿拉,121,72
閱讀,121,49
長徐,121,106
金交,121,92
遭遇,121,100
進軍,121,103
輸出,121,92
跨行,121,53
足夠,121,110
評鑑,121,62
與人,121,109
的確,121,114
登台,121,65
會長,121,74
日益,121,117
數在,121,115
強烈,121,117
干擾,121,110
希臘,121,41
少了,121,89
將面,121,109
將發,121,117
將推,121,114
家人,121,95
大使,121,79
外貿,121,66
增速,121,74
制定,121,108
保全,121,66
上季,121,90
點後,120,106
高級,120,105
銀紐,120,91
量縮,120,95
超台,120,101
費金,120,102
行自,120,105
藍燈,120,31
股本,120,97
續創,120,107
續兩,120,108
緊張,120,110
納稅,120,69
約的,120,104
篩選,120,59
益信,120,17
的疑,120,112
的對,120,115
產量,120,73
為投,120,108
為基,120,108
深入,120,113
浪潮,120,105
每人,120,99
有成,120,112
是我,120,97
施政,120,85
折扣,120,81
惡意,120,75
履歷,120,51
委賣,120,119
女兒,120,59
執照,120,85
國是,120,109
名為,120,108
可行,120,104
到金,120,109
全家,120,72
內資,120,92
充滿,120,109
但現,120,114
事宜,120,107
中獎,120,29
一下,120,102
駭客,119,66
險金,119,69
長許,119,110
金將,119,113
金在,119,104
見到,119,109
行交,119,105
總會,119,81
稍早,119,110
私人,119,96
益的,119,107
的研,119,101
的有,119,111
的推,119,110
率已,119,116
深化,119,94
月減,119,84
會推,119,107
控的,119,107
抗跌,119,97
感應,119,61
很高,119,114
幣升,119,101
對的,119,108
在各,119,113
國投,119,103
及日,119,103
參股,119,60
卡人,119,75
動用,119,93
則以,119,113
利成,119,106
僅是,119,115
伊斯,119,50
他不,119,109
介紹,119,100
並以,119,118
離職,118,83
陸地,118,67
銀今,118,100
還說,118,111
轉變,118,112
走升,118,102
贏得,118,101
貸平,118,63
誠品,118,23
行存,118,88
落在,118,107
華一,118,33
老人,118,62
級的,118,98
約定,118,87
當日,118,85
率降,118,102
比照,118,100
業可,118,113
暫緩,118,97
是政,118,102
日成,118,106
於一,118,112
抗議,118,72
成以,118,105
心態,118,102
很快,118,111
崛起,118,104
尼加,118,35
在北,118,102
國主,118,93
前仍,118,114
則可,118,114
來就,118,114
以台,118,109
人為,118,107
不及,118,106
一事,118,111
駕駛,117,50
颱風,117,69
震撼,117,109
開通,117,70
身的,117,111
資等,117,96
調節,117,103
菁英,117,79
與客,117,85
臺銀,117,21
股有,117,109
籌碼,117,104
的運,117,111
用在,117,99
理學,117,74
率約,117,104
率會,117,94
為避,117,105
死亡,117,62
期美,117,102
會下,117,111
書長,117,99
時上,117,117
提列,117,69
所在,117,106
德銀,117,26
廣播,117,96
度來,117,112
幣中,117,98
小額,117,93
大力,117,106
善基,117,63
和日,117,104
向下,117,104
及保,117,95
前金,117,110
人權,117,86
院院,116,107
金規,116,99
邁入,116,108
連帶,116,92
輸入,116,86
財長,116,84
谷底,116,95
老闆,116,75
美食,116,66
美聯,116,92
移動,116,97
的轉,116,104
的稅,116,91
的歷,116,108
發起,116,92
澳幣,116,63
清查,116,84
月合,116,79
明朗,116,106
應對,116,100
後將,116,113
對其,116,112
契機,116,113
在投,116,107
土壤,116,41
國壽,116,48
國債,116,67
問時,116,107
向的,116,107
各自,116,103
友善,116,86
兒子,116,68
債的,116,99
件數,116,65
也大,116,111
類型,115,104
金行,115,88
選出,115,98
近兩,115,109
起訴,115,67
買家,115,60
行協,115,89
與公,115,107
等金,115,110
眾的,115,106
的核,115,100
的損,115,99
的帳,115,98
的困,115,111
發動,115,90
由國,115,96
父母,115,67
港幣,115,39
泡沫,115,76
業金,115,93
業之,115,106
月外,115,75
是自,115,108
日中,115,100
手上,115,94
我的,115,86
成了,115,98
想像,115,105
度跌,115,100
度最,115,103
年發,115,100
幅超,115,101
將大,115,109
寶島,115,49
安聯,115,61
大人,115,54
在法,115,111
升溫,115,112
兼顧,115,107
兩天,115,103
元現,115,90
來幾,115,105
二個,115,104
也很,115,110
上看,115,106
黨的,114,89
響應,114,100
門的,114,103
長線,114,96
適當,114,109
過於,114,107
速成,114,106
誘因,114,88
要時,114,108
華人,114,58
自貿,114,43
約談,114,65
簽帳,114,42
為首,114,112
災害,114,59
灣中,114,99
漲的,114,104
漲多,114,95
會以,114,110
是外,114,111
整數,114,102
很重,114,109
年為,114,102
年一,114,109
市大,114,109
對話,114,84
實踐,114,93
多萬,114,88
國稅,114,43
國最,114,103
善政,114,57
和解,114,58
和其,114,105
參訪,114,67
升幅,114,86
力與,114,112
到最,114,109
分期,114,78
元今,114,101
價今,114,109
休假,114,67
上櫃,114,78
飛機,113,59
遠銀,113,28
起的,113,108
者在,113,105
者也,113,106
罰款,113,80
的後,113,96
的差,113,108
生物,113,73
率走,113,92
率仍,113,103
特性,113,102
法第,113,88
樂視,113,11
業也,113,108
未有,113,109
月就,113,103
會會,113,104
敏感,113,97
放的,113,99
戶資,113,86
度與,113,102
專訪,113,103
場不,113,105
回補,113,92
單筆,113,70
各家,113,101
北美,113,79
全的,113,101
以不,113,105
人投,113,93
中期,113,104
中在,113,110
三家,113,95
黃國,112,49
關稅,112,77
長照,112,43
跌到,112,86
費率,112,55
行最,112,107
自我,112,94
能出,112,108
等到,112,106
研擬,112,91
的案,112,99
率決,112,86
無限,112,69
為亞,112,95
有能,112,100
有明,112,106
會一,112,107
智能,112,60
成就,112,87
從業,112,81
度重,112,101
年到,112,98
天內,112,87
場中,112,106
型保,112,55
在財,112,99
回台,112,87
售業,112,82
可見,112,102
即便,112,106
前還,112,107
前有,112,109
前兩,112,100
分歧,112,97
公安,112,46
個工,112,90
中租,112,30
中投,112,42
中包,112,112
並與,112,107
上國,112,106
面試,111,51
非農,111,88
電動,111,65
隨之,111,106
重量,111,100
逾百,111,102
財團,111,79
詢時,111,95
行獲,111,86
的漲,111,98
的女,111,87
熔斷,111,40
為不,111,106
法案,111,70
每公,111,34
期利,111,73
會談,111,84
是會,111,101
易中,111,95
放假,111,42
擺脫,111,107
捷運,111,71
戶可,111,100
成分,111,91
感受,111,101
愛心,111,71
情人,111,84
布最,111,107
小的,111,102
察人,111,78
宏觀,111,92
大地,111,89
增至,111,103
在資,111,107
在年,111,104
圖書,111,29
及全,111,105
勝出,111,97
兩者,111,103
價走,111,100
人擔,111,97
金不,110,98
過這,110,106
講座,110,72
要讓,110,102
行家,110,82
行信,110,95
能發,110,97
股下,110,96
美鈔,110,27
續增,110,103
紅包,110,44
確的,110,104
眾銀,110,38
的期,110,98
的加,110,94
的共,110,101
界對,110,99
減碼,110,81
液晶,110,54
洲國,110,91
正的,110,101
正是,110,96
時會,110,88
早已,110,102
散戶,110,62
提名,110,65
成指,110,84
懷疑,110,95
年報,110,94
幅提,110,104
居住,110,81
失敗,110,93
大華,110,57
場仍,110,106
國對,110,90
印象,110,93
南海,110,42
務與,110,103
前為,110,103
八年,110,69
內線,110,61
克林,110,60
價也,110,102
值為,110,98
來發,110,99
也成,110,104
不符,110,97
一條,110,87
一向,110,104
長高,109,92
部今,109,96
跌的,109,102
資額,109,82
資成,109,97
要一,109,103
行進,109,100
紅盤,109,78
等行,109,84
競賽,109,57
的代,109,102
用人,109,87
率中,109,82
獲准,109,86
活絡,109,86
有進,109,104
是英,109,85
日出,109,106
新經,109,72
採行,109,93
振興,109,85
投機,109,75
對公,109,98
將召,109,99
定義,109,79
多方,109,96
團總,109,97
受理,109,90
又有,109,104
剩下,109,97
六成,109,90
元及,109,96
俊吉,109,40
促成,109,101
今已,109,108
二年,109,97
齡化,108,84
陸企,108,62
關閉,108,77
鈔票,108,52
配息,108,73
進國,108,89
財管,108,58
要角,108,97
要性,108,101
衛生,108,80
行保,108,92
行事,108,102
翻轉,108,86
等大,108,106
短短,108,99
的談,108,96
的流,108,101
流向,108,96
材料,108,74
未見,108,93
很有,108,102
度高,108,100
年慶,108,43
幅達,108,103
布新,108,103
對未,108,100
對一,108,99
將更,108,98
客服,108,63
客來,108,53
委買,108,107
大減,108,89
國小,108,47
回收,108,82
向國,108,95
召集,108,89
反向,108,61
及外,108,95
卻不,108,105
中大,108,95
不了,108,95
點開,107,96
體產,107,81
關部,107,91
金淨,107,53
選前,107,87
護盤,107,68
記憶,107,50
視台,107,78
行統,107,102
萬多,107,93
股與,107,92
繳交,107,87
縣市,107,80
細節,107,97
相互,107,94
的精,107,98
產學,107,66
漲近,107,83
業產,107,65
想到,107,91
得標,107,42
對日,107,90
定收,107,95
國商,107,92
國今,107,92
口商,107,73
勢不,107,100
創立,107,90
別提,107,83
出後,107,99
價大,107,101
修改,107,90
付出,107,94
今晚,107,92
也曾,107,102
願景,106,88
雖有,106,102
錄取,106,54
重返,106,94
轉職,106,31
轉移,106,97
較佳,106,101
資與,106,102
觀點,106,94
術的,106,87
行申,106,84
行理,106,92
行卡,106,52
縮短,106,92
經費,106,83
稽核,106,61
稅局,106,39
界人,106,91
現大,106,105
率預,106,83
物流,106,67
為此,106,100
為因,106,102
減稅,106,67
業革,106,79
本外,106,76
期大,106,97
是高,106,99
是重,106,98
是經,106,101
施的,106,97
微幅,106,96
年已,106,106
展延,106,60
宣告,106,89
學歷,106,60
回答,106,81
善用,106,96
務處,106,72
凌晨,106,87
億股,106,74
也開,106,102
一籃,106,77
邀集,105,99
轉率,105,34
跳空,105,95
行因,105,102
股台,105,100
的條,105,95
用來,105,99
用不,105,73
理性,105,85
熱絡,105,92
為第,105,100
灣在,105,95
泥窯,105,105
氛圍,105,99
民事,105,75
權力,105,86
業進,105,93
東西,105,85
教師,105,52
憂慮,105,93
意識,105,97
家發,105,93
失去,105,94
天大,105,98
大產,105,90
型商,105,81
均為,105,87
回來,105,81
名列,105,85
合會,105,67
台東,105,37
只會,105,91
加值,105,57
到中,105,99
停滯,105,95
但隨,105,100
但如,105,102
人一,105,101
也同,105,103
中東,105,82
且不,105,101
下週,105,83
點名,104,91
都市,104,70
這份,104,82
諸多,104,98
蒐集,104,84
能為,104,99
股短,104,90
股昨,104,97
聯手,104,93
線的,104,95
稱為,104,97
疏失,104,81
率在,104,96
然人,104,71
滬深,104,83
東證,104,77
本來,104,96
期許,104,92
有太,104,93
會指,104,93
時刻,104,96
是非,104,97
是未,104,93
易金,104,72
日正,104,94
拍賣,104,52
愈多,104,94
強大,104,97
店家,104,56
年股,104,87
富通,104,26
宏碁,104,59
始終,104,103
大至,104,93
場投,104,101
在行,104,91
商辦,104,50
各類,104,100
前五,104,82
元月,104,74
備抵,104,70
停車,104,54
作出,104,97
但今,104,100
人有,104,100
了結,104,91
也強,104,100
際行,103,56
開的,103,97
金進,103,96
金收,103,61
較小,103,96
資股,103,78
變更,103,75
等的,103,95
的監,103,89
當的,103,99
用品,103,68
為正,103,90
為是,103,97
為市,103,99
此時,103,93
正義,103,74
款成,103,76
次數,103,84
業外,103,72
果有,103,95
本公,103,62
有問,103,94
更重,103,96
星期,103,79
日大,103,98
於其,103,98
文章,103,63
數已,103,96
形容,103,90
幅最,103,83
帳單,103,58
已於,103,91
對策,103,80
專注,103,88
審議,103,81
天股,103,86
大於,103,93
國及,103,91
受限,103,93
卻是,103,101
午舉,103,102
入股,103,84
值比,103,78
來是,103,102
來得,103,95
低水,103,96
不實,103,75
點是,102,95
領取,102,75
電郵,102,48
金需,102,92
邁進,102,91
造的,102,90
追究,102,75
資上,102,82
貸利,102,55
調漲,102,50
言之,102,93
行推,102,89
續在,102,102
秉持,102,101
的身,102,88
發中,102,82
產價,102,83
現代,102,89
為重,102,99
於外,102,97
數一,102,95
應有,102,98
從中,102,97
將為,102,95
學子,102,64
卡通,102,42
前也,102,101
出發,102,89
六個,102,96
元作,102,94
但金,102,99
仍會,102,98
人氣,102,92
人以,102,94
也對,102,101
七年,102,71
一卡,102,43
長黃,101,92
郵件,101,63
達新,101,98
過多,101,98
通的,101,74
轉任,101,69
購的,101,88
訴求,101,69
要加,101,88
自於,101,96
職業,101,72
稅的,101,82
的退,101,64
次公,101,82
業處,101,80
案是,101,90
有近,101,95
有投,101,96
是連,101,93
早上,101,93
成一,101,94
建案,101,46
延伸,101,90
年是,101,89
將台,101,83
將依,101,87
實地,101,63
家主,101,89
季營,101,77
子發,101,33
好處,101,91
大阪,101,67
境的,101,93
在岸,101,55
在印,101,54
可用,101,92
另有,101,96
及財,101,96
卡片,101,71
卡提,101,50
分支,101,78
保中,101,41
作品,101,52
企圖,101,91
任中,101,79
以利,101,99
以中,101,93
五個,101,89
之冠,101,97
中以,101,98
鬆的,100,90
高可,100,91
錯誤,100,79
逾期,100,62
身心,100,46
資部,100,74
證人,100,54
表演,100,85
行記,100,96
行利,100,85
與英,100,90
能以,100,96
的存,100,86
發酵,100,95
為強,100,95
比起,100,91
業放,100,60
有提,100,88
形式,100,91
平穩,100,92
失望,100,91
多達,100,94
國產,100,64
回流,100,87
否認,100,82
勞資,100,44
分數,100,61
優異,100,92
人信,100,83
不等,100,92
不合,100,80
下子,100,92
額高,99,91
險等,99,88
銀聯,99,37
選結,99,81
近的,99,95
跨部,99,76
調處,99,33
計前,99,60
規則,99,89
衝突,99,76
蓋率,99,64
航線,99,35
能對,99,96
能使,99,92
聞報,99,85
綁定,99,58
的連,99,91
的聲,99,86
率上,99,85
次為,99,93
業員,99,47
是公,99,94
持不,99,84
手段,99,86
度過,99,89
度及,99,95
實名,99,25
察院,99,53
外金,99,72
場也,99,97
地檢,99,78
國證,99,85
告知,99,84
只剩,99,89
古巴,99,7
危險,99,83
博士,99,72
動車,99,58
切入,99,81
來在,99,96
但有,99,99
以新,99,89
以免,99,97
不清,99,88
上美,99,96
三名,99,87
黨團,98,49
領軍,98,90
長時,98,89
銀經,98,47
資法,98,70
行相,98,95
行指,98,89
股仍,98,89
而有,98,95
者對,98,91
美金,98,57
縮水,98,85
破壞,98,87
真相,98,70
的勞,98,76
留下,98,86
用金,98,83
率與,98,92
減產,98,63
活的,98,91
氣勢,98,87
檢方,98,59
業公,98,82
李大,98,50
本業,98,70
有時,98,87
日晚,98,87
於人,98,92
手法,98,81
息後,98,89
張國,98,23
幣走,98,82
導的,98,85
專長,98,52
實在,98,96
密集,98,88
定資,98,53
大行,98,74
大單,98,90
基層,98,80
口數,98,83
反觀,98,90
卸任,98,68
務及,98,91
務上,98,92
六年,98,83
入中,98,85
光是,98,93
來已,98,96
作金,98,81
估今,98,89
仍為,98,93
些人,98,86
事的,98,95
之路,98,80
中說,98,88
中山,98,50
不便,98,82
上申,98,57
一套,98,79
體上,97,71
馬尼,97,56
首選,97,92
預警,97,80
面積,97,76
險保,97,62
際經,97,87
隊的,97,85
金增,97,64
還包,97,95
贊成,97,69
資信,97,80
資不,97,86
讓民,97,85
謝金,97,39
請金,97,77
試圖,97,90
計將,97,94
規格,97,78
要國,97,91
行投,97,85
萬事,97,47
能成,97,91
職的,97,82
美方,97,69
等公,97,91
租稅,97,68
產處,97,65
淑貞,97,49
有重,97,92
月時,97,86
最有,97,84
最受,97,88
於這,97,94
新報,97,79
新型,97,77
收漲,97,67
提及,97,87
排隊,97,61
拜會,97,65
愛的,97,64
彼此,97,82
引擎,97,81
年更,97,91
履行,97,74
就任,97,83
富國,97,50
大權,97,83
在過,97,87
回購,97,36
商用,97,55
和歐,97,80
又以,97,91
匯銀,97,66
加的,97,88
到現,97,90
元至,97,89
價跌,97,82
人來,97,91
上網,97,67
七成,97,90
高水,96,90
高後,96,83
高中,96,67
馬文,96,58
類別,96,79
金可,96,90
適度,96,81
過高,96,86
連鎖,96,74
逢低,96,83
貝爾,96,45
話題,96,88
評議,96,27
補貼,96,54
行則,96,86
華碩,96,54
能進,96,95
聯徵,96,39
者指,96,82
老年,96,63
緩步,96,89
緊密,96,86
簡稱,96,80
碩士,96,71
的處,96,89
的整,96,90
的持,96,83
界關,96,92
率僅,96,88
牌的,96,79
為近,96,88
為兩,96,87
有約,96,92
是投,96,93
是受,96,94
是去,96,91
日線,96,75
新發,96,89
數不,96,92
掀起,96,93
批准,96,79
後才,96,93
年每,96,87
幅縮,96,88
就在,96,88
將增,96,90
實境,96,49
天說,96,94
大致,96,85
在進,96,92
在其,96,94
周刊,96,60
及對,96,93
南非,96,57
務分,96,87
出台,96,91
信投,96,67
作上,96,91
估的,96,85
不穩,96,91
高股,95,67
雙重,95,82
集資,95,63
院的,95,76
限額,95,53
防止,95,84
長呂,95,87
里程,95,79
酒店,95,62
這筆,95,82
農民,95,44
轉強,95,83
較少,95,87
證的,95,79
訊號,95,74
言論,95,77
自救,95,40
能持,95,92
能因,95,91
股債,95,71
終身,95,58
等四,95,93
立群,95,33
破產,95,67
的正,95,90
理與,95,90
