,id,title,content,cluster
1366,1454138638442_PTT02R,[其他] 105年01月30日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年01月30日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.98 10.03 +2.95 自營商(避險) 43.88 31.82 +12.06 投 信 19.95 14.71 +5.25 外資及陸資 41.02 15.35 +25.67 =========================================================== 合 計 117.83 71.91 +45.92 法人成交比重15.37% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
1427,1454310559649_PTT02R,[其他] 105年02月01日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月01日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.35 9.94 +0.41 自營商(避險) 40.74 72.65 -31.91 投 信 10.00 11.83 -1.83 外資及陸資 281.98 213.11 +68.86 =========================================================== 合 計 343.06 307.53 +35.53 法人成交比重39.08% -- 中天，不是電視台 (4128，生技製藥廠) 大塚，不是製藥廠 (3570，3D列印軟體) 森田，不是藥粧店 (8410，IMR膜內漾印機殼) 天宇，不是布袋戲 (8171，手機電池) 帝寶，不是賣豪宅 (6605，車燈) -- ,5
1462,1454396904038_PTT02R,[其他] 105年02月02日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月02日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 8.81 8.02 +0.79 自營商(避險) 39.80 36.77 +3.03 投 信 7.53 12.33 -4.80 外資及陸資 267.07 225.11 +41.97 =========================================================== 合 計 323.21 282.22 +40.98 法人成交比重41.48% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
1503,1454483848496_PTT02R,[其他] 105年02月03日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月03日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 9.19 11.13 -1.94 自營商(避險) 25.96 49.20 -23.25 投 信 5.33 8.57 -3.25 外資及陸資 257.43 273.94 -16.51 =========================================================== 合 計 297.91 342.85 -44.93 法人成交比重41.29% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
1788,1455521261579_PTT02R,[其他] 105年02月15日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月15日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.98 8.33 +4.65 自營商(避險) 43.75 45.97 -2.22 投 信 7.14 15.23 -8.07 外資及陸資 360.98 391.53 -30.55 =========================================================== 合 計 424.85 461.06 -36.22 法人成交比重50.35% coconing恭祝大家新年快樂，操作順利，績效長紅！ -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
1823,1455606426669_PTT02R,[其他] 105年02月16日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月16日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 18.06 9.39 +8.67 自營商(避險) 62.55 51.99 +10.56 投 信 11.86 10.23 +1.63 外資及陸資 327.57 236.75 +90.82 =========================================================== 合 計 420.03 308.36 +111.67 法人成交比重40.25% -- 中天，不是電視台 (4128，生技製藥廠) 大塚，不是製藥廠 (3570，3D列印軟體) 森田，不是藥粧店 (8410，IMR膜內漾印機殼) 天宇，不是布袋戲 (8171，手機電池) 帝寶，不是賣豪宅 (6605，車燈) -- ,5
1863,1455693459024_PTT02R,[其他] 105年02月17日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月17日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 17.60 9.69 +7.92 自營商(避險) 60.71 70.44 -9.73 投 信 12.67 10.28 +2.39 外資及陸資 246.60 223.71 +22.89 =========================================================== 合 計 337.59 314.12 +23.48 法人成交比重38.76% -- 一頁書：世事如棋，乾坤莫測，笑盡英雄啊～～～ 一夜輸：股市如棋，漲跌莫測，坑盡散戶啊～～～ -- ,5
1903,1455780568446_PTT02R,[其他] 105年02月18日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月18日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 14.35 9.61 +4.74 自營商(避險) 53.00 55.56 -2.56 投 信 12.73 9.78 +2.95 外資及陸資 338.44 231.62 +106.82 =========================================================== 合 計 418.52 306.56 +111.95 法人成交比重38.55% -- 四大基金：勞保、勞退、退撫、郵儲 四大雞精：白蘭氏、統一、桂格、華陀 -- ,5
1936,1455866096604_PTT02R,[其他] 105年02月19日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月19日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 12.74 9.32 +3.42 自營商(避險) 37.73 47.74 -10.01 投 信 8.49 12.64 -4.15 外資及陸資 222. 26 198.52 +23.75 =========================================================== 合 計 281.23 268.21 +13.02 法人成交比重36.55% -- 持股滿檔待上漲 vs. 持股續抱待解套 ?注文????？ -- ,5
2047,1456125316835_PTT02R,[其他] 105年02月22日三大法人買賣金額統計表,http://www.twse.com.tw/ch/trading/fund/BFI82U/BFI82U.php 105年02月22日三大法人買賣金額統計表 單位名稱 買進金額(億元) 賣出金額(億元) 買賣差額(億元) 自營商(自行買賣) 10.71 11.34 -0.63 自營商(避險) 54.89 53.57 +1.31 投 信 7.10 7.45 -0.35 外資及陸資 185.55 157.52 +28.03 =========================================================== 合 計 258.24 298.88 +28.36 法人成交比重32.50% -- 紅包行情變白包行情 法說會變成法會 阿彌陀佛～ -- ,5
