,name,date,price,5MA,1日報酬,2日報酬,3日報酬,4日報酬,5日報酬
73,Y9999 加權指數,2016-05-05,8167.96,8299.864,-0.0021391563343339135,-0.015210775826730352,-0.025058785614533428,-0.03610038860638654,-0.04613893414145652
74,Y9999 加權指數,2016-05-06,8146.43,8234.376,-0.002635909088683067,-0.004769426801393196,-0.01780659069316582,-0.027628642022463786,-0.03864114035263704
75,Y9999 加權指數,2016-05-09,8131.83,8185.161999999999,-0.0017921960908030099,-0.004423381113521627,-0.006553075144127378,-0.01956687388173801,-0.02937132216903994
76,Y9999 加權指數,2016-05-10,8156.29,8157.5960000000005,0.00300793302368594,0.0012103461270764827,-0.0014287533239633976,-0.003564853331574154,-0.016617796704171246
77,Y9999 加權指數,2016-05-11,8135.56,8147.614,-0.0025415967308665536,0.0004586913400797204,-0.0013343268155498655,-0.0039667187400525515,-0.0060973896428671605
78,Y9999 加權指數,2016-05-12,8108.05,8135.6320000000005,-0.003381451307592866,-0.005914453752870457,-0.00292431100994484,-0.004711266161987534,-0.007334756781375014
79,Y9999 加權指數,2016-05-13,8053.69,8117.084,-0.006704448048544419,-0.010063228591516846,-0.012579248653493238,-0.009609153167245298,-0.011384127771306042
80,Y9999 加權指數,2016-05-16,8067.6,8104.238,0.0017271586068002076,-0.0049888690868951,-0.008353450776590676,-0.01087381640427199,-0.007898591092041959
81,Y9999 加權指數,2016-05-17,8140.48,8101.076000000001,0.009033665526302642,0.010776426706267557,0.003999728664722021,0.0006047524694058139,-0.001938381298359965
82,Y9999 加權指數,2016-05-18,8159.68,8105.9,0.002358583277644651,0.011413555456393465,0.013160427083734374,0.006367745635510401,0.0029647621061119197
83,Y9999 加權指數,2016-05-19,8095.98,8103.486,-0.007806678693282178,-0.0054665081174574475,0.003517774802915266,0.005251009164743113,-0.0014886440019487568
84,Y9999 加權指數,2016-05-20,8131.26,8119.0,0.0043577182749958195,-0.003482979724695095,-0.001132611344785485,0.007890822549457069,0.009631609858338304
85,Y9999 加權指數,2016-05-23,8344.44,8174.368,0.026217339010190337,0.030689305062512624,0.02264304482528729,0.025055033609811823,0.03431503792949578
86,Y9999 加權指數,2016-05-24,8300.66,8206.404,-0.005246607321761634,0.02083317960562073,0.025281683008110234,0.01727763833875833,0.019676972365265968
87,Y9999 加權指數,2016-05-25,8396.2,8253.707999999999,0.0115099281261973,0.006202932731255808,0.032582896131718886,0.037082601488640184,0.028986430840425167
88,Y9999 加權指數,2016-05-26,8394.12,8313.336,-0.00024773111645743636,0.011259345642394815,0.005953664955347548,0.03232709321802532,0.03682568385791482
89,Y9999 加權指數,2016-05-27,8463.61,8379.806,0.008278413937375183,0.008028632000190545,0.019630969103661723,0.014281365795667543,0.04087312421445143
90,Y9999 加權指數,2016-05-30,8535.87,8418.092,0.008537727990774647,0.016886820774542177,0.016634906267120848,0.028336300968838737,0.02294102420294235
91,Y9999 加權指數,2016-05-31,8535.59,8465.078,-3.280274887043205e-05,0.00850464518095701,0.01685346409153066,0.01660155784759765,0.028302568711403707
92,Y9999 加權指數,2016-06-01,8597.16,8505.27,0.007213326788189183,0.007180287422371597,0.015779318754054035,0.024188360423725064,0.023934637097734583
93,Y9999 加權指數,2016-06-02,8556.02,8537.65,-0.004785301192486754,0.002393507654421111,0.0023606263919201714,0.010918508768716877,0.01928731064125836
94,Y9999 加權指數,2016-06-03,8587.36,8562.4,0.003662918038994783,-0.0011399113195519534,0.006065192915779745,0.006032191211909246,0.014621420410439515
95,Y9999 加權指數,2016-06-04,8591.57,8573.54,0.0004902554452123967,0.0041549692497211636,-0.0006502147220710264,0.006558421854845366,0.006525403971709844
96,Y9999 加權指數,2016-06-06,8597.11,8585.844000000001,0.0006448181182252922,0.0011353896890313204,0.0048024665673993445,-5.815874079262502e-06,0.007207468962309628
97,Y9999 加權指數,2016-06-07,8679.9,8602.392,0.009629980307335726,0.010281008011341342,0.010776303776713571,0.014478694533205766,0.009624108426503611
98,Y9999 加權指數,2016-06-08,8715.48,8634.284,0.004099125565962734,0.013768580371775977,0.014422276720087232,0.014919602764994011,0.018637170086091327
99,Y9999 加權指數,2016-06-13,8536.22,8624.056,-0.020568000844474455,-0.01655318609661405,-0.007082612645412381,-0.006442361524145222,-0.005955264481750064
100,Y9999 加權指數,2016-06-14,8576.12,8620.966,0.004674200055762558,-0.015989939739406066,-0.011956358944227334,-0.0024415181380719546,-0.0017982743549780668
101,Y9999 加權指數,2016-06-15,8606.37,8622.818000000001,0.003527236092778552,0.008217923155682663,-0.012519103939197699,-0.008471295752255076,0.0010771061438088168
102,Y9999 加權指數,2016-06-16,8494.14,8585.666000000001,-0.013040341049711014,-0.009559101318545144,-0.004929582414698769,-0.025396191603904793,-0.021401168216223714
103,Y9999 加權指數,2016-06-17,8568.08,8556.186,0.008704824737995902,-0.004449030195076539,-0.000937486882179922,0.0037323311723456735,-0.016912436262833445
104,Y9999 加權指數,2016-06-20,8625.92,8574.126,0.006750637248951941,0.015514225101069756,0.0022715732649188068,0.005806821732904771,0.010508164035135076
105,Y9999 加權指數,2016-06-21,8684.85,8595.872,0.006831735049710673,0.013628490863764161,0.02245194922617251,0.00911882710132141,0.012678227450175552
106,Y9999 加權指數,2016-06-22,8716.25,8617.848,0.0036154913441221936,0.010471926472770432,0.017293255898637745,0.0261486153983806,0.01276728748589698
107,Y9999 加權指數,2016-06-23,8676.68,8654.356,-0.004539796357378427,-0.0009407186076904118,0.005884589701736188,0.012674951681123469,0.021490109652066117
108,Y9999 加權指數,2016-06-24,8476.99,8636.137999999999,-0.023014563173932946,-0.027449878101247695,-0.023933631553797772,-0.01726540473364004,-0.01063131996900124
109,Y9999 加權指數,2016-06-27,8458.87,8602.728,-0.0021375511826720313,-0.025102919549873856,-0.029528753764520202,-0.026020023374036347,-0.019366050230004365
110,Y9999 加權指數,2016-06-28,8505.51,8566.86,0.00551373883272818,0.003364401751093305,-0.019727591659482666,-0.024177828768105526,-0.020649752154614086
111,Y9999 加權指數,2016-06-29,8586.56,8540.922,0.009529117007680818,0.015095396902895858,0.012925578536721136,-0.010386461181004808,-0.014879105119747656
112,Y9999 加權指數,2016-06-30,8666.58,8538.902,0.00931921514552981,0.018937136044752133,0.024555289299870917,0.022365249929515094,-0.001164039701821476
113,Y9999 加權指數,2016-07-01,8738.24,8591.152,0.008268544223903761,0.01766481571199646,0.027362262815516007,0.03302687001928141,0.03081872221153971
114,Y9999 加權指數,2016-07-04,8760.58,8651.494,0.002556578899183376,0.010846262308776933,0.02026655610628709,0.02998879549844744,0.035667884717462156
115,Y9999 加權指數,2016-07-05,8716.07,8693.606,-0.005080713834015581,-0.002537124180613038,0.005710441719801789,0.01508287370029444,0.024755717176277434
116,Y9999 加權指數,2016-07-06,8575.75,8691.444,-0.016098998745994436,-0.02109791817436744,-0.01859527776760535,-0.010480489420278809,-0.0012589442104870275
117,Y9999 加權指數,2016-07-07,8640.91,8686.310000000001,0.007598169256333248,-0.008623152406990749,-0.013660054471279307,-0.0111383985791189,-0.00296195269645005
118,Y9999 加權指數,2016-07-11,8786.47,8695.956,0.01684544799101015,0.02457161181237785,0.008077034718628882,0.002955283782580539,0.00551941809792356
119,Y9999 加權指數,2016-07-12,8841.46,8712.132,0.006258486058678831,0.023209361051092916,0.030983878961023715,0.014386070786489716,0.00923226544361209
120,Y9999 加權指數,2016-07-13,8857.75,8740.467999999999,0.001842455883983061,0.00811247292712553,0.02509457915890805,0.032883421275107134,0.016255032371240742
121,Y9999 加權指數,2016-07-14,8866.36,8798.59,0.0009720301430950955,0.002816276949734711,0.009092388638440835,0.026091001989373887,0.033887415094889725
122,Y9999 加權指數,2016-07-15,8949.85,8860.378,0.009416491096684522,0.01039767435296778,0.012259287493242208,0.01859449813178683,0.03575317877399493
123,Y9999 加權指數,2016-07-18,9008.21,8904.725999999999,0.0065207796778715575,0.015998673638336198,0.0169862549744573,0.018860007283864885,0.025236528435196363
124,Y9999 加權指數,2016-07-19,9034.87,8943.408,0.0029595224800489416,0.009499600551964606,0.01900554455266876,0.019996048657954988,0.02187534637944431
125,Y9999 加權指數,2016-07-20,9007.68,8973.394,-0.003009451159784314,-5.883521809536366e-05,0.006461560808281695,0.015938897134788087,0.01692642036634589
126,Y9999 加權指數,2016-07-21,9056.56,9011.434,0.005426480514405396,0.0024006986265434575,0.005367326028145477,0.011923104856505877,0.021451869763916522
127,Y9999 加權指數,2016-07-22,9013.14,9024.092,-0.004794314839188398,0.0006061494191622179,-0.0024051259176945967,0.0005472785381335795,0.007071626898774734
128,Y9999 加權指數,2016-07-25,8991.67,9020.784,-0.0023820777220812444,-0.007164972130698568,-0.0017773721979466653,-0.004781474442908501,-0.001836102843961126
129,Y9999 加權指數,2016-07-26,9024.79,9018.768,0.003683409199848393,0.0012925573107708808,-0.0035079544551130473,0.0018994902127962563,-0.0011156773700119567
130,Y9999 加權指數,2016-07-27,9063.39,9029.91,0.004277107832979885,0.007976271371169021,0.00557519355074924,0.0007541494783891375,0.0061847223702439615
131,Y9999 加權指數,2016-07-28,9076.64,9033.926,0.001461925394361271,0.005745286039896612,0.00944985747920012,0.007045269462140831,0.00221717738302401
132,Y9999 加權指數,2016-07-29,8984.41,9028.179999999998,-0.010161249096581948,-0.0087141786903134,-0.0044743423392678405,-0.0008074139731551778,-0.0031875683723984723
133,Y9999 加權指數,2016-08-01,9080.71,9045.988,0.010718566939843494,0.0004484038146274072,0.0019109847419122106,0.006196266062700434,0.009902498645968885
134,Y9999 加權指數,2016-08-02,9068.76,9054.782,-0.0013159763939162147,0.009388485164857832,-0.0008681626681237991,0.0005924935371865054,0.004872135528915281
135,Y9999 加權指數,2016-08-03,9001.71,9042.446,-0.0073935135564290036,-0.008699760261036858,0.0019255577160881207,-0.008255257452096845,-0.006805400628241783
136,Y9999 加權指數,2016-08-04,9024.71,9032.06,0.0025550700922380306,-0.004857334409555561,-0.0061669186660514436,0.0044855477432574065,-0.005721280121278391
137,Y9999 加權指數,2016-08-05,9092.12,9053.602,0.007469492094483001,0.010043647262575853,0.002575875863955004,0.001256509678208166,0.011988544601148093
138,Y9999 加權指數,2016-08-08,9150.26,9067.512,0.006394548246173545,0.01391180436822913,0.016502420095737488,0.008986895672616763,0.007659092736140797
139,Y9999 加權指數,2016-08-09,9155.08,9084.776000000002,0.0005267609882123249,0.006924677632939196,0.014445893552258279,0.01703787391506734,0.009518390606874557
